"T","blastomere","gini","tree"
7.5297976,"B",0.494894477217151,"sensitivity_58-42"
7.662247,"A",0.54108043498771,"sensitivity_58-42"
7.662247,"B",0.536712939772835,"sensitivity_58-42"
7.7946964,"A",0.569866080212385,"sensitivity_58-42"
7.7946964,"B",0.56506734713692,"sensitivity_58-42"
7.9271458,"A",0.595439648030957,"sensitivity_58-42"
7.9271458,"B",0.590374620732095,"sensitivity_58-42"
8.0595952,"A",0.615333821248805,"sensitivity_58-42"
8.0595952,"B",0.60285419850817,"sensitivity_58-42"
8.1920446,"A",0.629139377202531,"sensitivity_58-42"
8.1920446,"B",0.616306278551682,"sensitivity_58-42"
8.324494,"A",0.642530708510695,"sensitivity_58-42"
8.324494,"B",0.626698286104626,"sensitivity_58-42"
8.4569434,"A",0.652425463821294,"sensitivity_58-42"
8.4569434,"B",0.633325296401057,"sensitivity_58-42"
8.5893928,"A",0.662155112737885,"sensitivity_58-42"
8.5893928,"B",0.639372001920443,"sensitivity_58-42"
8.7218422,"A",0.670123232410077,"sensitivity_58-42"
8.7218422,"B",0.646002342457418,"sensitivity_58-42"
8.8542916,"A",0.677312642391459,"sensitivity_58-42"
8.8542916,"B",0.652353778962249,"sensitivity_58-42"
8.986741,"A",0.683589852833123,"sensitivity_58-42"
8.986741,"B",0.657423427901005,"sensitivity_58-42"
9.1191904,"A",0.689338627934284,"sensitivity_58-42"
9.1191904,"B",0.662855695766731,"sensitivity_58-42"
9.2516398,"A",0.693848629740397,"sensitivity_58-42"
9.2516398,"B",0.668767569706902,"sensitivity_58-42"
9.3840892,"A",0.698101307888141,"sensitivity_58-42"
9.3840892,"B",0.673682176135442,"sensitivity_58-42"
9.5165386,"A",0.702467785835563,"sensitivity_58-42"
9.5165386,"B",0.678720066646809,"sensitivity_58-42"
9.648988,"A",0.706987681111542,"sensitivity_58-42"
9.648988,"B",0.682339195598233,"sensitivity_58-42"
9.7814374,"A",0.710731117418343,"sensitivity_58-42"
9.7814374,"B",0.686444345382619,"sensitivity_58-42"
9.9138868,"A",0.715000748259071,"sensitivity_58-42"
9.9138868,"B",0.690914615509052,"sensitivity_58-42"
10.0463362,"A",0.718497944441258,"sensitivity_58-42"
10.0463362,"B",0.695307388145297,"sensitivity_58-42"
