"blastomere","gini","blast"
"B1",0.504177942488292,"Blastomere A"
"B1",0.493428337844624,"Blastomere A"
"B1",0.50158265560639,"Blastomere A"
"B1",0.488488562246002,"Blastomere A"
"B1",0.501830729981561,"Blastomere A"
"B1",0.514025741477094,"Blastomere A"
"B1",0.490713214156113,"Blastomere A"
"B1",0.491570144832998,"Blastomere A"
"B1",0.491067404978069,"Blastomere A"
"B1",0.498313193434872,"Blastomere A"
"B1",0.492483427449542,"Blastomere A"
"B1",0.49712804993507,"Blastomere A"
"B1",0.496938934396903,"Blastomere A"
"B1",0.490451857242383,"Blastomere A"
"B1",0.495271580102045,"Blastomere A"
"B1",0.497487244425748,"Blastomere A"
"B1",0.493637197587384,"Blastomere A"
"B1",0.500396861163467,"Blastomere A"
"B1",0.504479015593812,"Blastomere A"
"B1",0.503300293074066,"Blastomere A"
"B1",0.500073650081275,"Blastomere A"
"B1",0.502502614177188,"Blastomere A"
"B1",0.496680667086499,"Blastomere A"
"B1",0.508121879499986,"Blastomere A"
"B1",0.491879582634713,"Blastomere A"
"B1",0.49797305193629,"Blastomere A"
"B1",0.495075462357092,"Blastomere A"
"B1",0.505045631845725,"Blastomere A"
"B1",0.500858797528544,"Blastomere A"
"B1",0.499493038367058,"Blastomere A"
"B1",0.497548018182342,"Blastomere A"
"B1",0.499427277647257,"Blastomere A"
"B1",0.493048514749831,"Blastomere A"
"B1",0.494739924590208,"Blastomere A"
"B1",0.503679753748893,"Blastomere A"
"B1",0.509962445156783,"Blastomere A"
"B1",0.493025454247712,"Blastomere A"
"B1",0.495263511964359,"Blastomere A"
"B1",0.494234653123782,"Blastomere A"
"B1",0.493248355023741,"Blastomere A"
"B1",0.512231933212828,"Blastomere A"
"B1",0.495659699178997,"Blastomere A"
"B1",0.498443755658197,"Blastomere A"
"B1",0.504418428167029,"Blastomere A"
"B1",0.500003802482873,"Blastomere A"
"B1",0.501450581973125,"Blastomere A"
"B1",0.498807964086299,"Blastomere A"
"B1",0.489212661892237,"Blastomere A"
"B1",0.49436037615234,"Blastomere A"
"B1",0.489211509507826,"Blastomere A"
"B1",0.502528386621737,"Blastomere A"
"B1",0.493484774170372,"Blastomere A"
"B1",0.508170412728488,"Blastomere A"
"B1",0.498882804829982,"Blastomere A"
"B1",0.495796084051189,"Blastomere A"
"B1",0.491958319143521,"Blastomere A"
"B1",0.497175605872699,"Blastomere A"
"B1",0.490284922620237,"Blastomere A"
"B1",0.502836630318761,"Blastomere A"
"B1",0.480901094292739,"Blastomere A"
"B1",0.494531178824291,"Blastomere A"
"B1",0.494797341532972,"Blastomere A"
"B1",0.497489809861799,"Blastomere A"
"B1",0.493174270960558,"Blastomere A"
"B1",0.507247081756548,"Blastomere A"
"B1",0.492026664286331,"Blastomere A"
"B1",0.498606902260947,"Blastomere A"
"B1",0.500764199897346,"Blastomere A"
"B1",0.495131848104264,"Blastomere A"
"B1",0.500749885268594,"Blastomere A"
"B1",0.50763356429414,"Blastomere A"
"B1",0.498524731122942,"Blastomere A"
"B1",0.491762261069295,"Blastomere A"
"B1",0.50237821619284,"Blastomere A"
"B1",0.498128542222321,"Blastomere A"
"B1",0.496096680446911,"Blastomere A"
"B1",0.5192178059966,"Blastomere A"
"B1",0.493825457537341,"Blastomere A"
"B1",0.497593470202809,"Blastomere A"
"B1",0.506361731844022,"Blastomere A"
"B1",0.499428236473504,"Blastomere A"
"B1",0.501091286692236,"Blastomere A"
"B1",0.495249192812486,"Blastomere A"
