"blastomere","T","major_trajectory","gini","gini_null_median","gini_null_lo","gini_null_hi","diff","diff_hi","blast"
"B2",11.635729,"Ependymal_cells",0.433494944939302,0.491844400745183,0.479091933494422,0.504769362121303,-0.0583494558058812,-0.0712744171820012,"Blastomere B"
"B2",11.635729,"Epithelium",0.708588526410842,0.491844400745183,0.479091933494422,0.504769362121303,0.216744125665659,0.203819164289539,"Blastomere B"
"B2",11.635729,"Eye_and_other",0.710225391745752,0.491844400745183,0.479091933494422,0.504769362121303,0.218380991000569,0.205456029624449,"Blastomere B"
"B2",11.635729,"Hepatocytes",0.781713532513181,0.491844400745183,0.479091933494422,0.504769362121303,0.289869131767998,0.276944170391878,"Blastomere B"
"B2",11.635729,"Intermediate_neuronal_progenitors",0.81088510830849,0.491844400745183,0.479091933494422,0.504769362121303,0.319040707563307,0.306115746187187,"Blastomere B"
"B2",11.635729,"Intestine",0.489528377298162,0.491844400745183,0.479091933494422,0.504769362121303,-0.00231602344702136,-0.0152409848231413,"Blastomere B"
"B2",11.635729,"Lung_and_airway",0.578535891968728,0.491844400745183,0.479091933494422,0.504769362121303,0.0866914912235449,0.0737665298474249,"Blastomere B"
"B2",11.635729,"Mast_cells",0.364373290100314,0.491844400745183,0.479091933494422,0.504769362121303,-0.127471110644869,-0.140396072020989,"Blastomere B"
"B2",11.635729,"Megakaryocytes",0.526118690053116,0.491844400745183,0.479091933494422,0.504769362121303,0.0342742893079334,0.0213493279318134,"Blastomere B"
"B2",11.635729,"Mesoderm",0.7423576681255,0.491844400745183,0.479091933494422,0.504769362121303,0.250513267380317,0.237588306004197,"Blastomere B"
"B2",11.635729,"Muscle_cells",0.650090957692388,0.491844400745183,0.479091933494422,0.504769362121303,0.158246556947206,0.145321595571086,"Blastomere B"
"B2",11.635729,"Neural_crest_PNS_glia",0.618467002322467,0.491844400745183,0.479091933494422,0.504769362121303,0.126622601577284,0.113697640201164,"Blastomere B"
"B2",11.635729,"Neural_crest_PNS_neurons",0.628158317511319,0.491844400745183,0.479091933494422,0.504769362121303,0.136313916766136,0.123388955390016,"Blastomere B"
"B2",11.635729,"Neuroectoderm_and_glia",0.792654513185762,0.491844400745183,0.479091933494422,0.504769362121303,0.300810112440579,0.287885151064459,"Blastomere B"
"B2",11.635729,"Olfactory_sensory_neurons",0.728303588686296,0.491844400745183,0.479091933494422,0.504769362121303,0.236459187941113,0.223534226564993,"Blastomere B"
"B2",11.635729,"White_blood_cells",0.632642004334301,0.491844400745183,0.479091933494422,0.504769362121303,0.140797603589118,0.127872642212998,"Blastomere B"
"B2",11.7681784,"CNS_neurons",0.770090988452717,0.492689206464375,0.479919192300384,0.505641460864634,0.277401781988341,0.264449527588082,"Blastomere B"
"B2",11.7681784,"Definitive_erythroid",0.663857845328565,0.492689206464375,0.479919192300384,0.505641460864634,0.17116863886419,0.158216384463931,"Blastomere B"
"B2",11.7681784,"Endothelium",0.532662294748615,0.492689206464375,0.479919192300384,0.505641460864634,0.0399730882842393,0.0270208338839805,"Blastomere B"
"B2",11.7681784,"Ependymal_cells",0.435000373775884,0.492689206464375,0.479919192300384,0.505641460864634,-0.0576888326884914,-0.0706410870887502,"Blastomere B"
"B2",11.7681784,"Epithelium",0.711521071190575,0.492689206464375,0.479919192300384,0.505641460864634,0.2188318647262,0.205879610325941,"Blastomere B"
"B2",11.7681784,"Eye_and_other",0.714558482080487,0.492689206464375,0.479919192300384,0.505641460864634,0.221869275616111,0.208917021215852,"Blastomere B"
"B2",11.7681784,"Hepatocytes",0.786051273782651,0.492689206464375,0.479919192300384,0.505641460864634,0.293362067318275,0.280409812918017,"Blastomere B"
"B2",11.7681784,"Intermediate_neuronal_progenitors",0.815286290270454,0.492689206464375,0.479919192300384,0.505641460864634,0.322597083806079,0.30964482940582,"Blastomere B"
"B2",11.7681784,"Intestine",0.494293879964522,0.492689206464375,0.479919192300384,0.505641460864634,0.00160467350014615,-0.0113475809001127,"Blastomere B"
"B2",11.7681784,"Lung_and_airway",0.581350672380671,0.492689206464375,0.479919192300384,0.505641460864634,0.0886614659162955,0.0757092115160367,"Blastomere B"
"B2",11.7681784,"Mast_cells",0.367182113660987,0.492689206464375,0.479919192300384,0.505641460864634,-0.125507092803389,-0.138459347203647,"Blastomere B"
"B2",11.7681784,"Megakaryocytes",0.526393538318581,0.492689206464375,0.479919192300384,0.505641460864634,0.0337043318542055,0.0207520774539467,"Blastomere B"
"B2",11.7681784,"Mesoderm",0.744607965839888,0.492689206464375,0.479919192300384,0.505641460864634,0.251918759375512,0.238966504975253,"Blastomere B"
"B2",11.7681784,"Muscle_cells",0.652924260366472,0.492689206464375,0.479919192300384,0.505641460864634,0.160235053902097,0.147282799501838,"Blastomere B"
"B2",11.7681784,"Neural_crest_PNS_glia",0.621061163870644,0.492689206464375,0.479919192300384,0.505641460864634,0.128371957406268,0.11541970300601,"Blastomere B"
"B2",11.7681784,"Neural_crest_PNS_neurons",0.630624111961978,0.492689206464375,0.479919192300384,0.505641460864634,0.137934905497603,0.124982651097344,"Blastomere B"
"B2",11.7681784,"Neuroectoderm_and_glia",0.796403970840388,0.492689206464375,0.479919192300384,0.505641460864634,0.303714764376012,0.290762509975754,"Blastomere B"
"B2",11.7681784,"Olfactory_sensory_neurons",0.730388219544846,0.492689206464375,0.479919192300384,0.505641460864634,0.237699013080471,0.224746758680212,"Blastomere B"
"B2",11.7681784,"White_blood_cells",0.643946440899677,0.492689206464375,0.479919192300384,0.505641460864634,0.151257234435301,0.138304980035042,"Blastomere B"
"B2",11.9006278,"CNS_neurons",0.772973567051659,0.493210369708135,0.48024202703727,0.506013025955919,0.279763197343524,0.26696054109574,"Blastomere B"
"B2",11.9006278,"Definitive_erythroid",0.677385136293502,0.493210369708135,0.48024202703727,0.506013025955919,0.184174766585367,0.171372110337584,"Blastomere B"
"B2",11.9006278,"Endothelium",0.534329097210761,0.493210369708135,0.48024202703727,0.506013025955919,0.0411187275026256,0.0283160712548419,"Blastomere B"
"B2",11.9006278,"Ependymal_cells",0.434452371734602,0.493210369708135,0.48024202703727,0.506013025955919,-0.0587579979735336,-0.0715606542213172,"Blastomere B"
"B2",11.9006278,"Epithelium",0.713721097285616,0.493210369708135,0.48024202703727,0.506013025955919,0.220510727577481,0.207708071329697,"Blastomere B"
