"old","shift","blast"
6.108015,2.66846109999999,"B1"
6.866433,2.38235409999999,"B1"
7.653963,2.09240509999999,"B1"
10.656613,1.01684509999999,"B1"
8.754663,1.69193209999999,"B1"
11.991923,0.521672099999989,"B1"
12.075256,0.521672099999989,"B1"
12.198123,0.48213809999999,"B1"
9.823323,1.31152009999999,"B1"
6.68241,2.44668809999999,"B1"
9.08197,1.57021809999999,"B1"
9.165303,1.57021809999999,"B1"
10.578843,1.04749909999999,"B1"
11.643113,0.658066099999992,"B1"
11.752184,0.632328099999992,"B1"
10.701053,1.00735609999999,"B1"
11.580806,0.688160099999989,"B1"
12.47998,0.364736099999988,"B1"
11.79816,0.60450809999999,"B1"
7.469084,2.16008809999999,"B1"
7.930886,1.99202809999999,"B1"
9.560376,1.40817809999999,"B1"
8.460449,1.81572109999999,"B1"
5.791246,2.80390209999999,"B1"
7.829746,2.05037209999999,"B1"
10.661046,1.02306209999999,"B1"
12.984646,0.185572099999993,"B1"
7.153936,2.29226309999999,"B1"
8.229476,1.89623309999999,"B1"
5.875843,2.75065709999999,"B1"
6.504366,2.51619709999999,"B1"
11.799686,0.610347099999991,"B1"
8.711526,1.71794709999999,"B1"
12.976216,0.187857099999992,"B1"
7.131823,2.27702509999999,"B1"
7.215156,2.27702509999999,"B1"
7.637119,2.11249309999999,"B1"
9.785179,1.33380309999999,"B1"
8.486883,1.79226209999999,"B1"
4.088822,3.52941409999999,"B1"
4.172155,3.52941409999999,"B1"
6.251075,2.68007409999999,"B1"
8.368285,1.87559409999999,"B1"
6.968522,2.38895809999999,"B1"
11.554602,0.707008099999991,"B1"
7.676982,2.15695409999999,"B1"
3.434972,3.87606609999999,"B1"
4.081976,3.53348209999999,"B1"
5.396156,2.99705709999999,"B1"
9.873466,1.32515709999999,"B1"
9.512396,1.45950709999999,"B1"
5.844096,2.81922209999999,"B1"
10.571686,1.06719209999999,"B1"
7.166156,2.30828509999999,"B1"
9.675606,1.38267509999999,"B1"
3.740379,3.65399209999999,"B1"
3.823712,3.65399209999999,"B1"
4.593776,3.30100009999999,"B1"
4.960282,3.12187809999999,"B1"
5.48108,2.90393609999999,"B1"
5.795894,2.77689809999999,"B1"
6.993794,2.33748109999999,"B1"
7.593513,2.11802309999999,"B1"
12.015953,0.531783099999991,"B1"
7.094864,2.30171909999999,"B1"
9.514544,1.42927909999999,"B1"
9.943273,1.27302409999999,"B1"
7.06204,2.31911709999999,"B1"
9.86982,1.30220709999999,"B1"
8.063082,1.97255809999999,"B1"
10.164956,1.22376009999999,"B1"
4.463691,3.29530809999999,"B1"
4.566253,3.27607909999999,"B1"
5.433426,2.93636509999999,"B1"
4.547024,3.29530809999999,"B1"
4.986899,3.13998509999999,"B1"
7.130309,2.32119509999999,"B1"
7.991683,1.99434609999999,"B1"
11.898849,0.587975099999992,"B1"
4.853904,3.20176309999999,"B1"
9.736384,1.3774031,"B1"
5.334527,2.98142909999999,"B1"
5.998969,2.70544809999999,"B1"
7.926829,1.97373809999999,"B1"
8.010162,1.97373809999999,"B1"
8.093495,1.97373809999999,"B1"
9.150635,1.57299009999999,"B1"
9.524196,1.42925809999999,"B1"
10.189175,1.19864809999999,"B1"
6.869197,2.40284409999999,"B1"
10.739057,0.986464099999992,"B1"
10.82239,0.986464099999992,"B1"
3.15384,3.90719909999999,"B1"
3.461986,3.68238609999999,"B1"
3.9439,3.43402509999999,"B1"
4.543404,3.19110609999999,"B1"
5.029247,2.98208909999999,"B1"
5.1128625,2.98180659999999,"B1"
5.8601845,2.70755159999999,"B1"
6.2733185,2.55097359999999,"B1"
6.3566515,2.55097359999999,"B1"
6.9117195,2.33429859999999,"B1"
7.5880275,2.06978559999999,"B1"
7.6713605,2.06978559999999,"B1"
7.7546935,2.06978559999999,"B1"
7.8380265,2.06978559999999,"B1"
8.0426965,1.97596159999999,"B1"
9.4045365,1.47556259999999,"B1"
11.4306065,0.743332599999992,"B1"
12.4518965,0.37542859999999,"B1"
10.3941485,1.11517359999999,"B1"
13.1642385,0.121033599999993,"B1"
8.3120465,1.86769859999999,"B1"
8.7325455,1.71071659999999,"B1"
9.9197255,1.28224059999999,"B1"
12.8668055,0.226150599999995,"B1"
7.9735845,2.01756059999999,"B1"
9.5522745,1.42644659999999,"B1"
