progenitor,postmitotic,n_cells_A,fold_A,q_A,n_cells_B,fold_B,q_B,tested_in_both,captured
Hypothalamus,Cajal-Retzius cells,21,0.92,1.000e+00,7,0.62,1.000e+00,1,0
Facial mesenchyme,Otic sensory neurons,11,0.89,1.000e+00,4,0.68,1.000e+00,1,0
Otic epithelial cells,Olfactory sensory neurons,3,1.0,1.000e+00,,,,0,0
Endothelium,Granular keratinocytes,8,0.78,1.000e+00,4,0.86,1.000e+00,1,0
Floorplate and p3 domain,Glutamatergic neurons,37,0.82,1.000e+00,13,0.73,1.000e+00,1,0
Myelinating Schwann cells,Granular keratinocytes,8,0.79,1.000e+00,3,0.81,1.000e+00,1,0
Chondrocytes (Atp1a2+),Spinal cord motor neurons,8,0.92,1.000e+00,,,,0,0
Spinal cord dorsal progenitors,Cajal-Retzius cells,22,0.87,1.000e+00,7,0.6,1.000e+00,1,0
Pre-epidermal keratinocytes,Otic sensory neurons,7,1.03,1.000e+00,,,,0,0
First heart field,GABAergic cortical interneurons,4,0.59,1.000e+00,5,1.07,1.000e+00,1,0
First heart field,GABAergic neurons,5,0.8,1.000e+00,,,,0,0
Spinal cord/r7/r8,Cajal-Retzius cells,43,0.73,1.000e+00,22,0.84,1.000e+00,1,0
Telencephalon,Osteoclasts,3,0.71,1.000e+00,,,,0,0
Definitive early erythroblasts (CD36-),Myotubes,3,0.97,1.000e+00,,,,0,0
Myofibroblasts,Sympathetic neurons,5,0.91,1.000e+00,,,,0,0
Pancreatic acinar cells,GABAergic neurons,,,,,,,0,0
Hindbrain,Cajal-Retzius cells,48,0.69,1.000e+00,34,0.87,1.000e+00,1,0
Nephron progenitors,GABAergic neurons,9,0.87,1.000e+00,,,,0,0
Neural progenitor cells (Neurod1+),GABAergic neurons,19,0.77,1.000e+00,9,0.69,1.000e+00,1,0
Sclerotome,Dorsal root ganglion neurons,4,0.7,1.000e+00,,,,0,0
Endothelium,Megakaryocytes,6,0.85,1.000e+00,,,,0,0
Dermatome,Parasympathetic neurons,4,0.79,1.000e+00,,,,0,0
Telencephalon,Myotubes,,,,,,,0,0
Primordial germ cells,GABAergic cortical interneurons,,,,4,1.21,1.000e+00,0,0
Melanocyte cells,Glutamatergic neurons,9,0.63,1.000e+00,6,0.9,1.000e+00,1,0
Otic epithelial cells,Neural crest (PNS neurons),,,,,,,0,0
Astrocytes,Cerebellar Purkinje cells,11,0.66,1.000e+00,6,0.85,1.000e+00,1,0
Facial mesenchyme,Granular keratinocytes,32,0.75,1.000e+00,12,0.62,1.000e+00,1,0
Diencephalon,Glutamatergic neurons,199,0.76,1.000e+00,92,0.61,1.000e+00,1,0
Hindbrain,Retinal ganglion cells,,,,3,0.83,1.000e+00,0,0
Thalamic neuronal precursors,Glutamatergic neurons,357,0.68,1.000e+00,215,0.74,1.000e+00,1,0
Adrenocortical cells,GABAergic cortical interneurons,3,0.63,1.000e+00,,,,0,0
Hindbrain,Otic sensory neurons,,,,4,1.48,1.000e+00,0,0
Microglia,Cajal-Retzius cells,,,,,,,0,0
Sclerotome,Cranial motor neurons,7,0.98,1.000e+00,,,,0,0
Neural progenitor cells (Neurod1+),GABAergic cortical interneurons,26,0.87,1.000e+00,8,0.43,1.000e+00,1,0
Diencephalon,GABAergic cortical interneurons,108,0.67,1.000e+00,74,0.71,1.000e+00,1,0
Neural crest (PNS glia),Granular keratinocytes,4,0.74,1.000e+00,,,,0,0
Lateral plate and intermediate mesoderm,Dorsal root ganglion neurons,5,0.71,1.000e+00,,,,0,0
Pituitary/Pineal gland progenitors,Glutamatergic neurons,6,0.95,1.000e+00,,,,0,0
Dermatome,Cranial motor neurons,3,0.76,1.000e+00,,,,0,0
Melanocyte cells,GABAergic neurons,5,0.7,1.000e+00,,,,0,0
Spinal cord/r7/r8,GABAergic cortical interneurons,158,0.66,1.000e+00,69,0.67,1.000e+00,1,0
Choroid plexus,Deep-layer neurons,4,0.5,1.000e+00,6,0.93,1.000e+00,1,0
Thalamic neuronal precursors,Deep-layer neurons,83,0.6,1.000e+00,68,0.75,1.000e+00,1,0
First heart field,Glutamatergic neurons,9,0.76,1.000e+00,3,0.52,1.000e+00,1,0
Brain capillary endothelial cells,GABAergic cortical interneurons,20,0.76,1.000e+00,7,0.49,1.000e+00,1,0
Brain capillary endothelial cells,Cerebellar Purkinje cells,4,0.92,1.000e+00,,,,0,0
Choroid plexus,GABAergic cortical interneurons,12,0.6,1.000e+00,11,0.73,1.000e+00,1,0
Retinal pigment cells,GABAergic neurons,3,1.02,1.000e+00,,,,0,0
Myofibroblasts,GABAergic neurons,84,0.64,1.000e+00,43,0.67,1.000e+00,1,0
Myelinating Schwann cells,Olfactory sensory neurons,4,0.54,1.000e+00,3,0.92,1.000e+00,1,0
Floorplate and p3 domain,Cajal-Retzius cells,3,0.51,1.000e+00,3,0.95,1.000e+00,1,0
Hindbrain,Sympathetic neurons,8,0.82,1.000e+00,,,,0,0
Retinal progenitor cells,Deep-layer neurons,3,0.86,1.000e+00,,,,0,0
First heart field,Deep-layer neurons,3,0.91,1.000e+00,,,,0,0
Fibroblasts,Parasympathetic neurons,15,0.62,1.000e+00,10,0.66,1.000e+00,1,0
Endocardial cells,Cajal-Retzius cells,,,,,,,0,0
Sclerotome,Parasympathetic neurons,8,0.87,1.000e+00,,,,0,0
Anterior floor plate,Cerebellar Purkinje cells,,,,,,,0,0
Brain capillary endothelial cells,Glutamatergic neurons,29,0.68,1.000e+00,11,0.51,1.000e+00,1,0
Sclerotome,Sympathetic neurons,18,0.6,1.000e+00,9,0.66,1.000e+00,1,0
Liver sinusoidal endothelial cells,Cerebellar Purkinje cells,3,0.54,1.000e+00,,,,0,0
Myoblasts,Otic sensory neurons,10,0.7,1.000e+00,3,0.48,1.000e+00,1,0
Adrenocortical cells,Glutamatergic neurons,5,0.61,1.000e+00,,,,0,0
Spinal cord dorsal progenitors,GABAergic cortical interneurons,64,0.62,1.000e+00,27,0.56,1.000e+00,1,0
Limb mesenchyme progenitors,Otic sensory neurons,4,0.43,1.000e+00,5,0.96,1.000e+00,1,0
Endocardial cells,GABAergic cortical interneurons,7,0.53,1.000e+00,6,0.74,1.000e+00,1,0
Midbrain,Cranial motor neurons,5,0.86,1.000e+00,,,,0,0
Telencephalon,Retinal ganglion cells,24,0.74,1.000e+00,18,0.48,1.000e+00,1,0
Pre-osteoblasts (Sp7+),GABAergic cortical interneurons,13,0.52,1.000e+00,13,0.71,1.000e+00,1,0
Anterior roof plate,Glutamatergic neurons,5,0.47,1.000e+00,4,0.97,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Cranial motor neurons,5,0.64,1.000e+00,,,,0,0
Sclerotome,Otic sensory neurons,11,0.73,1.000e+00,,,,0,0
Olfactory epithelial cells,Neural crest (PNS neurons),4,0.65,1.000e+00,,,,0,0
Chondrocytes (Atp1a2+),Parasympathetic neurons,3,0.73,1.000e+00,,,,0,0
Eye field,Deep-layer neurons,8,0.62,1.000e+00,7,0.58,1.000e+00,1,0
Brain capillary endothelial cells,GABAergic neurons,10,0.47,1.000e+00,9,0.86,1.000e+00,1,0
Olfactory epithelial cells,Cerebellar Purkinje cells,5,0.41,1.000e+00,6,0.99,1.000e+00,1,0
Pre-osteoblasts (Sp7+),Glutamatergic neurons,24,0.57,1.000e+00,16,0.61,1.000e+00,1,0
Neural crest (PNS glia),Cajal-Retzius cells,12,0.54,1.000e+00,7,0.69,1.000e+00,1,0
Dorsal telencephalon,Cerebellar Purkinje cells,4,0.44,1.000e+00,4,0.94,1.000e+00,1,0
Dermomyotome,GABAergic cortical interneurons,6,0.66,1.000e+00,,,,0,0
Ureteric bud,Cajal-Retzius cells,3,0.95,1.000e+00,,,,0,0
Dorsal telencephalon,Glutamatergic neurons,51,0.54,1.000e+00,27,0.66,1.000e+00,1,0
Thalamic neuronal precursors,Retinal ganglion cells,4,0.94,1.000e+00,,,,0,0
Early chondrocytes,Dorsal root ganglion neurons,,,,,,,0,0
Dermatome,Otic sensory neurons,5,0.61,1.000e+00,,,,0,0
Dermatome,Sympathetic neurons,8,0.49,1.000e+00,6,0.75,1.000e+00,1,0
Hindbrain,GABAergic cortical interneurons,158,0.56,1.000e+00,88,0.57,1.000e+00,1,0
Lymphatic vessel endothelial cells,Cerebellar Purkinje cells,,,,,,,0,0
Astrocytes,GABAergic cortical interneurons,59,0.58,1.000e+00,25,0.53,1.000e+00,1,0
Lymphatic vessel endothelial cells,GABAergic neurons,14,0.71,1.000e+00,,,,0,0
