"blastomere","node","support"
"B1",411928,4
"B1",411929,4
"B1",411930,0
"B1",411931,0
"B1",411932,0
"B1",411933,2
"B1",411934,6
"B1",411935,0
"B1",411936,4
"B1",411937,1
"B1",411938,2
"B1",411939,4
"B1",411940,7
"B1",411941,4
"B1",411942,1
"B1",411943,3
"B1",411944,7
"B1",411945,3
"B1",411946,6
"B1",411947,10
"B1",411948,2
"B1",411949,0
"B1",411950,3
"B1",411951,1
"B1",411952,13
"B1",411953,2
"B1",411954,6
"B1",411955,2
"B1",411956,6
"B1",411957,1
"B1",411958,0
"B1",411959,3
"B1",411960,5
"B1",411961,7
"B1",411962,2
"B1",411963,2
"B1",411964,0
"B1",411965,0
"B1",411966,7
"B1",411967,4
"B1",411968,4
"B1",411969,0
"B1",411970,4
"B1",411971,0
"B1",411972,4
"B1",411973,2
"B1",411974,2
"B1",411975,0
"B1",411976,3
"B1",411977,6
"B1",411978,0
"B1",411979,2
"B1",411980,2
"B1",411981,1
"B1",411982,10
"B1",411983,1
"B1",411984,10
"B1",411985,3
"B1",411986,3
"B1",411987,0
"B1",411988,0
"B1",411989,3
"B1",411990,2
"B1",411991,3
"B1",411992,5
"B1",411993,2
"B1",411994,2
"B1",411995,4
"B1",411996,4
"B1",411997,5
"B1",411998,2
"B1",411999,6
"B1",412000,2
"B1",412001,2
"B1",412002,8
"B1",412003,2
"B1",412004,2
"B1",412005,0
"B1",412006,0
"B1",412007,1
"B1",412008,1
"B1",412009,2
"B1",412010,4
"B1",412011,6
"B1",412012,7
"B1",412013,3
"B1",412014,1
"B1",412015,0
"B1",412016,3
"B1",412017,0
"B1",412018,2
"B1",412019,3
"B1",412020,6
"B1",412021,0
"B1",412022,1
"B1",412023,0
"B1",412024,0
"B1",412025,0
"B1",412026,1
"B1",412027,5
"B1",412028,1
"B1",412029,7
"B1",412030,10
"B1",412031,7
"B1",412032,8
"B1",412033,2
"B1",412034,3
"B1",412035,8
"B1",412036,2
"B1",412037,2
"B1",412038,9
"B1",412039,3
"B1",412040,2
"B1",412041,1
"B1",412042,5
"B1",412043,4
"B1",412044,9
"B1",412045,3
"B1",412046,3
"B1",412047,8
"B1",412048,7
"B1",412049,5
"B1",412050,3
"B1",412051,5
"B1",412052,0
"B1",412053,0
"B1",412054,6
"B1",412055,1
"B1",412056,4
"B1",412057,4
"B1",412058,5
"B1",412059,8
"B1",412060,1
"B1",412061,3
"B1",412062,1
"B1",412063,6
"B1",412064,7
"B1",412065,7
"B1",412066,3
"B1",412067,5
"B1",412068,3
"B1",412069,4
"B1",412070,14
"B1",412071,4
"B1",412072,7
"B1",412073,7
"B1",412074,13
"B1",412075,6
"B1",412076,0
"B1",412077,3
"B1",412078,0
"B1",412079,2
"B1",412080,0
"B1",412081,0
"B1",412082,0
"B1",412083,5
"B1",412084,3
"B1",412085,0
"B1",412086,0
"B1",412087,1
"B1",412088,4
"B1",412089,0
"B1",412090,0
"B1",412091,3
"B1",412092,2
"B1",412093,2
"B1",412094,1
"B1",412095,2
"B1",412096,0
"B1",412097,8
"B1",412098,5
"B1",412099,1
"B1",412100,4
"B1",412101,4
"B1",412102,7
"B1",412103,0
"B1",412104,0
"B1",412105,0
"B1",412106,0
"B1",412107,3
"B1",412108,0
"B1",412109,1
"B1",412110,5
"B1",412111,0
"B1",412112,1
"B1",412113,0
"B1",412114,5
"B1",412115,6
"B1",412116,4
"B1",412117,6
"B1",412118,9
"B1",412119,2
"B1",412120,2
"B1",412121,4
"B1",412122,5
"B1",412123,4
"B1",412124,4
"B1",412125,3
"B1",412126,0
"B1",412127,0
"B1",412128,4
"B1",412129,0
"B1",412130,0
"B1",412131,1
"B1",412132,1
"B1",412133,8
"B1",412134,0
"B1",412135,3
"B1",412136,3
"B1",412137,0
"B1",412138,5
"B1",412139,0
"B1",412140,1
"B1",412141,0
"B1",412142,1
"B1",412143,3
"B1",412144,2
"B1",412145,0
"B1",412146,1
"B1",412147,0
"B1",412148,2
"B1",412149,1
"B1",412150,3
"B1",412151,0
"B1",412152,3
"B1",412153,1
"B1",412154,0
"B1",412155,0
"B1",412156,0
