celltype_1,celltype_2,category,log2_enr_A_K15,log2_enr_A_K200,log2_enr_B_K15,log2_enr_B_K200
Anterior roof plate,Kupffer cells,neither,-1.8520,-3.1859,-1.4567,-2.5241
Anterior roof plate,Lateral plate and intermediate mesoderm,neither,-1.1686,-0.9890,-0.7154,-0.7134
Anterior roof plate,Limb mesenchyme progenitors,neither,-2.3028,-1.3450,-0.6485,-0.9615
Anterior roof plate,Liver sinusoidal endothelial cells,neither,-1.8478,-1.4569,-1.1501,-0.9883
Anterior roof plate,Lung progenitor cells,neither,-0.8835,-2.4949,-1.4495,-2.1469
Anterior roof plate,Lymphatic vessel endothelial cells,neither,-0.4412,-0.5988,-0.9603,-0.8931
Anterior roof plate,Mast cells,neither,-0.9455,-3.9024,-0.8360,-1.6239
Anterior roof plate,Megakaryocytes,neither,-2.5704,-2.4748,-1.9437,-2.5424
Anterior roof plate,Melanocyte cells,neither,-0.7025,-0.6748,-0.3871,0.1760
Anterior roof plate,Metanephric mesenchyme,neither,-1.8049,-2.4411,-1.2774,-1.6433
Anterior roof plate,Microglia,neither,-0.9802,-2.9173,-0.7137,-1.7403
Anterior roof plate,Midbrain,neither,-1.0717,-1.2157,-0.5575,-0.8339
Anterior roof plate,Midbrain-hindbrain boundary,neither,0.2411,-0.5323,-0.3181,0.4230
Anterior roof plate,Midgut/Hindgut epithelial cells,neither,-1.8580,-2.2536,0.2586,-1.4632
Anterior roof plate,Monocytes,neither,-0.4123,-2.5856,-0.2928,-1.0884
Anterior roof plate,Muscle progenitor cells,neither,-0.5130,-2.7281,-0.2764,0.0346
Anterior roof plate,Myelinating Schwann cells,neither,-0.1972,-1.3763,-1.0745,-0.7507
Anterior roof plate,Myelinating Schwann cells (Tgfb2+),neither,0.3475,-1.1042,-0.0434,-0.8408
Anterior roof plate,Myoblasts,neither,-2.3501,-1.1142,-0.5661,-0.7314
Anterior roof plate,Myofibroblasts,neither,-0.5866,-1.3003,-1.2459,-0.7118
Anterior roof plate,Naive retinal progenitor cells,neither,-2.4372,-2.1557,-0.7493,-1.4451
Anterior roof plate,Nephron progenitors,neither,-0.9220,-2.0781,-0.5374,-0.8429
Anterior roof plate,Neural crest (PNS glia),neither,-0.0966,-0.9365,0.3775,-0.3977
Anterior roof plate,Neural crest (PNS neurons),neither,-0.2923,-1.1254,-0.7163,-0.8976
Anterior roof plate,Neural progenitor cells (Neurod1+),neither,0.3523,-1.0017,0.4023,-1.3158
Anterior roof plate,Neurons (Slc17a8+),neither,-0.7002,-0.9035,-0.3957,-0.3547
