"blastomere","rank","size","blast"
"B1",418,340,"Blastomere A"
"B1",419,339,"Blastomere A"
"B1",420,338,"Blastomere A"
"B1",421,338,"Blastomere A"
"B1",422,337,"Blastomere A"
"B1",423,335,"Blastomere A"
"B1",424,335,"Blastomere A"
"B1",425,325,"Blastomere A"
"B1",426,323,"Blastomere A"
"B1",427,323,"Blastomere A"
"B1",428,321,"Blastomere A"
"B1",429,317,"Blastomere A"
"B1",430,317,"Blastomere A"
"B1",431,316,"Blastomere A"
"B1",432,315,"Blastomere A"
"B1",433,314,"Blastomere A"
"B1",434,314,"Blastomere A"
"B1",435,313,"Blastomere A"
"B1",436,313,"Blastomere A"
"B1",437,313,"Blastomere A"
"B1",438,313,"Blastomere A"
"B1",439,312,"Blastomere A"
"B1",440,309,"Blastomere A"
"B1",441,309,"Blastomere A"
"B1",442,307,"Blastomere A"
"B1",443,306,"Blastomere A"
"B1",444,306,"Blastomere A"
"B1",445,304,"Blastomere A"
"B1",446,304,"Blastomere A"
"B1",447,304,"Blastomere A"
"B1",448,303,"Blastomere A"
"B1",449,303,"Blastomere A"
"B1",450,302,"Blastomere A"
"B1",451,301,"Blastomere A"
"B1",452,301,"Blastomere A"
"B1",453,300,"Blastomere A"
"B1",454,299,"Blastomere A"
"B1",455,299,"Blastomere A"
"B1",456,299,"Blastomere A"
"B1",457,297,"Blastomere A"
"B1",458,297,"Blastomere A"
"B1",459,296,"Blastomere A"
"B1",460,296,"Blastomere A"
"B1",461,296,"Blastomere A"
"B1",462,295,"Blastomere A"
"B1",463,293,"Blastomere A"
"B1",464,293,"Blastomere A"
"B1",465,291,"Blastomere A"
"B1",466,289,"Blastomere A"
"B1",467,287,"Blastomere A"
"B1",468,286,"Blastomere A"
"B1",469,286,"Blastomere A"
"B1",470,283,"Blastomere A"
"B1",471,282,"Blastomere A"
"B1",472,281,"Blastomere A"
"B1",473,279,"Blastomere A"
"B1",474,279,"Blastomere A"
"B1",475,277,"Blastomere A"
"B1",476,276,"Blastomere A"
"B1",477,276,"Blastomere A"
"B1",478,274,"Blastomere A"
"B1",479,274,"Blastomere A"
"B1",480,274,"Blastomere A"
"B1",481,273,"Blastomere A"
"B1",482,272,"Blastomere A"
"B1",483,272,"Blastomere A"
"B1",484,271,"Blastomere A"
"B1",485,270,"Blastomere A"
"B1",486,269,"Blastomere A"
"B1",487,269,"Blastomere A"
"B1",488,267,"Blastomere A"
"B1",489,266,"Blastomere A"
"B1",490,266,"Blastomere A"
"B1",491,265,"Blastomere A"
"B1",492,264,"Blastomere A"
"B1",493,264,"Blastomere A"
"B1",494,263,"Blastomere A"
"B1",495,262,"Blastomere A"
"B1",496,262,"Blastomere A"
"B1",497,259,"Blastomere A"
"B1",498,258,"Blastomere A"
"B1",499,257,"Blastomere A"
"B1",500,256,"Blastomere A"
"B1",501,256,"Blastomere A"
"B1",502,255,"Blastomere A"
"B1",503,255,"Blastomere A"
"B1",504,254,"Blastomere A"
"B1",505,254,"Blastomere A"
"B1",506,254,"Blastomere A"
"B1",507,252,"Blastomere A"
"B1",508,252,"Blastomere A"
"B1",509,252,"Blastomere A"
"B1",510,251,"Blastomere A"
"B1",511,249,"Blastomere A"
"B1",512,246,"Blastomere A"
"B1",513,245,"Blastomere A"
"B1",514,245,"Blastomere A"
"B1",515,244,"Blastomere A"
"B1",516,244,"Blastomere A"
"B1",517,243,"Blastomere A"
"B1",518,243,"Blastomere A"
"B1",519,242,"Blastomere A"
"B1",520,242,"Blastomere A"
"B1",521,242,"Blastomere A"
"B1",522,241,"Blastomere A"
"B1",523,240,"Blastomere A"
"B1",524,240,"Blastomere A"
"B1",525,239,"Blastomere A"
"B1",526,238,"Blastomere A"
"B1",527,238,"Blastomere A"
"B1",528,238,"Blastomere A"
"B1",529,237,"Blastomere A"
"B1",530,237,"Blastomere A"
"B1",531,236,"Blastomere A"
"B1",532,236,"Blastomere A"
"B1",533,235,"Blastomere A"
"B1",534,233,"Blastomere A"
"B1",535,232,"Blastomere A"
"B1",536,230,"Blastomere A"
"B1",537,230,"Blastomere A"
"B1",538,230,"Blastomere A"
"B1",539,229,"Blastomere A"
"B1",540,228,"Blastomere A"
"B1",541,228,"Blastomere A"
