"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f400","B_cells",NA,0,130,65,"B1"
"f401","B_cells",NA,0,130,298,"B2"
"f402","B_cells",NA,0,130,84,"B1"
"f403","B_cells",NA,0,130,42,"B1"
"f404","B_cells",NA,0,130,98,"B2"
"f405","B_cells",NA,0,130,1111,"B2"
"f406","B_cells",NA,0,130,385,"B1"
"f407","B_cells",NA,0,130,54,"B2"
"f408","B_cells",NA,0,130,54,"B2"
"f409","B_cells",NA,0,130,40,"B1"
"f410","B_cells",NA,0,130,26,"B2"
"f411","B_cells",NA,0,130,83,"B2"
"f412","B_cells",NA,0,130,126,"B1"
"f413","B_cells",NA,0,130,31,"B2"
"f414","B_cells",NA,0,130,1178,"B2"
"f415","B_cells",NA,0,130,370,"B2"
"f416","B_cells",NA,0,130,117,"B1"
"f417","B_cells",NA,0,130,172,"B2"
"f418","B_cells",NA,0,130,347,"B2"
"f419","B_cells",NA,0,130,24,"B2"
"f420","B_cells",NA,0,130,108,"B2"
"f421","B_cells",NA,0,130,447,"B1"
"f422","B_cells",NA,0,130,29,"B1"
"f423","B_cells",NA,0,130,46,"B1"
"f424","B_cells",NA,0,130,620,"B1"
"f425","B_cells",NA,0,130,39,"B1"
"f426","B_cells",NA,0,130,78,"B1"
"f427","B_cells",NA,0,130,44,"B1"
"f428","B_cells",NA,0,130,110,"B2"
"f429","B_cells",NA,0,130,71,"B2"
"f430","B_cells",NA,0,130,98,"B1"
"f431","B_cells",NA,0,130,32,"B2"
"f432","B_cells",NA,0,130,358,"B1"
"f433","B_cells",NA,0,130,94,"B1"
"f434","B_cells",NA,0,130,52,"B1"
"f435","B_cells",NA,0,130,50,"B1"
"f436","B_cells",NA,0,130,25,"B2"
"f437","B_cells",NA,0,130,246,"B2"
"f438","B_cells",NA,0,130,48,"B1"
"f439","B_cells",NA,0,130,43,"B1"
"f440","B_cells",NA,0,130,38,"B1"
"f441","B_cells",NA,0,130,33,"B2"
"f442","B_cells",NA,0,130,259,"B1"
"f443","B_cells",NA,0,130,117,"B2"
"f444","B_cells",NA,0,130,46,"B2"
"f445","B_cells",NA,0,130,41,"B1"
"f446","B_cells",NA,0,130,41,"B1"
"f447","B_cells",NA,0,130,31,"B1"
"f448","B_cells",NA,0,130,553,"B2"
"f449","B_cells",NA,0,130,75,"B1"
"f450","B_cells",NA,0,130,83,"B1"
"f451","B_cells",NA,0,130,39,"B1"
"f452","B_cells",NA,0,130,39,"B2"
"f453","B_cells",NA,0,130,26,"B1"
"f454","B_cells",NA,0,130,190,"B1"
"f455","B_cells",NA,0,130,94,"B2"
"f456","B_cells",NA,0,130,47,"B2"
"f457","B_cells",NA,0,130,81,"B1"
"f458","B_cells",NA,0,130,466,"B1"
"f459","B_cells",NA,0,130,55,"B2"
"f460","B_cells",NA,0,130,29,"B1"
"f461","B_cells",NA,0,130,132,"B1"
"f462","B_cells",NA,0,130,37,"B1"
"f463","B_cells",NA,0,130,74,"B2"
"f464","B_cells",NA,0,130,69,"B2"
"f465","B_cells",NA,0,130,91,"B1"
"f466","B_cells",NA,0,130,75,"B2"
"f467","B_cells",NA,0,130,134,"B2"
"f468","B_cells",NA,0,130,27,"B2"
"f469","B_cells",NA,0,130,90,"B1"
"f470","B_cells",NA,0,130,30,"B2"
"f471","B_cells",NA,0,130,30,"B2"
"f472","B_cells",NA,0,130,52,"B1"
"f473","B_cells",NA,0,130,47,"B2"
"f474","B_cells",NA,0,130,81,"B2"
"f475","B_cells",NA,0,130,42,"B1"
"f476","B_cells",NA,0,130,34,"B2"
"f477","B_cells",NA,0,130,123,"B1"
"f478","B_cells",NA,0,130,43,"B2"
"f479","B_cells",NA,0,130,66,"B1"
"f480","B_cells",NA,0,130,49,"B2"
"f481","B_cells",NA,0,130,55,"B1"
"f482","B_cells",NA,0,130,33,"B1"
"f483","B_cells",NA,0,130,33,"B1"
"f484","B_cells",NA,0,130,40,"B2"
"f485","B_cells",NA,0,130,81,"B2"
"f486","B_cells",NA,0,130,78,"B1"
"f487","B_cells",NA,0,130,38,"B2"
"f488","B_cells",NA,0,130,71,"B1"
"f489","B_cells",NA,0,130,36,"B1"
"f490","B_cells",NA,0,130,111,"B1"
"f491","B_cells",NA,0,130,47,"B2"
"f492","B_cells",NA,0,130,58,"B2"
"f493","B_cells",NA,0,130,52,"B1"
"f494","B_cells",NA,0,130,16,"B1"
"f495","B_cells",NA,0,130,14,"B2"
"f496","B_cells",NA,0,130,11,"B2"
"f497","B_cells",NA,0,130,22,"B2"
"f498","B_cells",NA,0,130,19,"B1"
"f499","B_cells",NA,0,130,21,"B1"
"f500","B_cells",NA,0,130,11,"B1"
"f501","B_cells",NA,0,130,17,"B2"
"f502","B_cells",NA,0,130,12,"B2"
"f503","B_cells",NA,0,130,23,"B2"
"f504","B_cells",NA,0,130,15,"B1"
"f505","B_cells",NA,0,130,35,"B1"
