"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f479","B_cells",NA,0,120,23,"Blastomere B"
"f480","B_cells",NA,0,120,39,"Blastomere B"
"f481","B_cells",NA,0,120,11,"Blastomere B"
"f482","B_cells",NA,0,120,30,"Blastomere A"
"f483","B_cells",NA,0,120,14,"Blastomere A"
"f484","B_cells",NA,0,120,26,"Blastomere A"
"f485","B_cells",NA,0,120,14,"Blastomere B"
"f486","B_cells",NA,0,120,11,"Blastomere B"
"f487","B_cells",NA,0,120,24,"Blastomere B"
"f488","B_cells",NA,0,120,46,"Blastomere B"
"f489","B_cells",NA,0,120,15,"Blastomere B"
"f490","B_cells",NA,0,120,11,"Blastomere A"
"f491","B_cells",NA,0,120,77,"Blastomere A"
"f492","B_cells",NA,0,120,13,"Blastomere B"
"f493","B_cells",NA,0,120,20,"Blastomere B"
"f494","B_cells",NA,0,120,10,"Blastomere B"
"f495","B_cells",NA,0,120,11,"Blastomere B"
"f496","B_cells",NA,0,120,18,"Blastomere B"
"f497","B_cells",NA,0,120,76,"Blastomere B"
"f498","B_cells",NA,0,120,21,"Blastomere B"
"f499","B_cells",NA,0,120,11,"Blastomere B"
"f500","B_cells",NA,0,120,41,"Blastomere B"
"f501","B_cells",NA,0,120,11,"Blastomere B"
"f502","B_cells",NA,0,120,11,"Blastomere B"
"f503","B_cells",NA,0,120,186,"Blastomere B"
"f504","B_cells",NA,0,120,167,"Blastomere B"
"f505","B_cells",NA,0,120,391,"Blastomere A"
"f506","B_cells",NA,0,120,384,"Blastomere A"
"f507","B_cells",NA,0,120,272,"Blastomere A"
"f508","B_cells",NA,0,120,89,"Blastomere A"
"f509","B_cells",NA,0,120,88,"Blastomere A"
"f510","B_cells",NA,0,120,247,"Blastomere A"
"f511","B_cells",NA,0,120,70,"Blastomere A"
"f512","B_cells",NA,0,120,69,"Blastomere B"
"f513","B_cells",NA,0,120,62,"Blastomere A"
